N° misura,Temperatura,Peso [g],Deformazione [mV/V],Mancano i dati su altezza lampada e tempo di riscaldamento
1,21.5,0,0.003,
2,21.5,10,0.012,
3,21.5,30,0.029,
4,21.5,50,,0.097 Outlier rimosso
5,21.5,100,0.094,
6,21.5,150,0.137,
7,21.5,100,0.093,
8,21.5,50,0.047,
9,21.5,30,0.029,
10,21.5,10,0.011,
11,21.5,0,0.002,
12,21.5,50,0.047,
13,21.5,100,0.093,
14,21.5,120,0.110,
15,21.5,140,0.129,
16,21.5,150,0.136,
17,21.5,140,0.129,
18,21.5,120,0.111,
19,21.5,100,0.093,
20,21.5,50,0.048,
21,21.5,0,0.002,
22,21.5,200,0.182,
23,21.5,210,0.191,
24,21.5,230,0.210,
25,21.5,250,0.228,
26,21.5,300,0.273,
27,21.5,350,0.318,
28,21.5,300,0.273,
29,21.5,250,0.226,
30,21.5,230,0.210,
31,21.5,210,0.192,
32,21.5,200,0.184,
33,21.5,0,0.003,
34,24.0,0,0.002,
35,24.0,10,0.011,
36,24.0,30,0.029,
37,24.0,50,0.047,
38,24.0,100,0.092,
39,24.0,150,0.140,
40,24.0,100,0.094,
41,24.0,50,0.049,
42,24.0,30,0.031,
43,24.0,10,0.013,
44,24.0,0,0.003,
45,24.0,50,0.049,
46,24.0,100,0.094,
47,24.0,120,0.113,
48,24.0,140,0.131,
49,24.0,150,0.140,
50,24.0,140,0.131,
51,24.0,120,0.113,
52,24.0,100,0.095,
53,24.0,50,0.049,
54,24.0,0,0.004,
55,24.0,200,0.185,
56,24.0,210,0.195,
57,24.0,230,0.213,
58,24.0,250,0.231,
59,24.0,300,0.276,
60,24.0,350,0.323,
61,24.0,300,0.277,
62,24.0,250,0.231,
63,24.0,230,0.214,
64,24.0,210,0.196,
65,24.0,200,0.187,
66,24.0,0,0.005,
