N° misura,Temperatura,Peso [g],Deformazione [mV/V],Temperatura a freddo
1,21.5,0,0.000,22.1
2,21.5,10,0.011,Altezza lampada [cm]
3,21.5,30,0.034,55
4,21.5,50,0.055,Tempo di riscaldamento
5,21.5,100,0.112,12 minuti (dopo la misura 33)
6,21.5,150,0.168,
7,21.5,100,0.112,
8,21.5,50,0.055,
9,21.5,30,0.033,
10,21.5,10,0.011,
11,21.5,0,-0.001,
12,21.5,50,0.056,
13,21.5,100,0.112,
14,21.5,120,0.135,
15,21.5,140,0.158,
16,21.5,150,0.168,
17,21.5,140,0.158,
18,21.5,120,0.135,
19,21.5,100,0.112,
20,21.5,50,0.055,
21,21.5,0,-0.001,
22,21.5,200,0.223,
23,21.5,210,0.235,
24,21.5,230,0.256,
25,21.5,250,0.279,
26,21.5,300,0.336,
27,21.5,350,0.393,
28,21.5,300,0.336,
29,21.5,250,0.279,
30,21.5,230,0.257,
31,21.5,210,,0.333 Outlier rimosso
32,21.5,200,0.223,
33,21.5,0,0.000,
34,25.0,0,0.003,
35,25.0,10,0.013,
36,25.0,30,0.035,
37,25.0,50,0.057,
38,25.0,100,0.113,
39,25.0,150,0.170,
40,25.0,100,0.113,
41,25.0,50,0.058,
42,25.0,30,0.035,
43,25.0,10,0.013,
44,25.0,0,0.002,
45,25.0,50,0.059,
46,25.0,100,0.115,
47,25.0,120,0.138,
48,25.0,140,0.163,
49,25.0,150,0.172,
50,25.0,140,0.16,
51,25.0,120,0.137,
52,25.0,100,0.113,
53,25.0,50,0.058,
54,25.0,0,0.002,
55,25.0,200,0.226,
56,25.0,210,0.234,
57,25.0,230,0.26,
58,25.0,250,0.282,
59,25.0,300,0.339,
60,25.0,350,0.398,
61,25.0,300,0.34,
62,25.0,250,0.283,
63,25.0,230,0.257,
64,25.0,210,0.238,
65,25.0,200,0.224,
66,25.0,0,0.001,
