N° misura,Temperatura,Peso [g],Deformazione [mV/V],Deformazione (a freddo),Deformazione (a caldo),Temperatura a freddo
1,22.1,0,-0.004,-0.004,,22.1
2,22.1,10,-0.008,-0.008,,Altezza lampada [cm]
3,22.1,30,-0.017,-0.017,,33
4,22.1,50,-0.026,-0.026,,Tempo di riscaldamento
5,22.1,100,-0.049,-0.049,,10-15 minuti
6,22.1,150,-0.072,-0.072,,
7,22.1,100,-0.049,-0.049,,
8,22.1,50,-0.026,-0.026,,
9,22.1,30,-0.017,-0.017,,
10,22.1,10,-0.008,-0.008,,
11,22.1,0,-0.003,-0.003,,
12,22.1,20,-0.013,-0.013,,
13,22.1,40,-0.022,-0.022,,
14,22.1,90,-0.044,-0.044,,
15,22.1,140,-0.067,-0.067,,
16,22.1,90,-0.044,-0.044,,
17,22.1,40,-0.021,-0.021,,
18,22.1,20,-0.013,-0.013,,
19,22.1,0,-0.004,-0.004,,
20,22.1,50,-0.026,-0.026,,
21,22.1,100,-0.049,-0.049,,
22,22.1,120,-0.058,-0.058,,
23,22.1,140,-0.067,-0.067,,
24,22.1,150,-0.071,-0.071,,
25,22.1,140,-0.068,-0.068,,
26,22.1,120,-0.059,-0.059,,
27,22.1,100,-0.050,-0.050,,
28,22.1,50,-0.027,-0.027,,
29,22.1,0,-0.004,-0.004,,
30,22.1,200,-0.095,-0.095,,
31,22.1,210,-0.099,-0.099,,
32,22.1,230,-0.108,-0.108,,
33,22.1,250,-0.117,-0.117,,
34,22.1,300,-0.140,-0.140,,
35,22.1,350,-0.163,-0.163,,
36,22.1,300,-0.141,-0.141,,
37,22.1,250,-0.118,-0.118,,
38,22.1,230,-0.108,-0.108,,
39,22.1,210,-0.100,-0.100,,
40,22.1,200,-0.095,-0.095,,
1,23.7,0,0.035,,0.035,
2,23.7,10,0.030,,0.030,
3,23.7,30,0.021,,0.021,
4,23.7,50,0.012,,0.012,
5,23.7,100,-0.010,,-0.010,
6,23.7,150,-0.033,,-0.033,
7,23.7,100,-0.010,,-0.010,
8,23.7,50,0.012,,0.012,
9,23.7,30,0.021,,0.021,
10,23.7,10,0.031,,0.031,
11,23.7,0,0.036,,0.036,
12,23.7,50,0.013,,0.013,
13,23.6,100,-0.010,,-0.010,
14,23.6,120,-0.018,,-0.018,
15,23.6,140,-0.027,,-0.027,
16,23.6,150,-0.033,,-0.033,
17,23.6,140,-0.028,,-0.028,
18,23.6,120,-0.019,,-0.019,
19,23.6,100,-0.010,,-0.010,
20,23.6,50,0.013,,0.013,
21,23.6,0,0.036,,0.036,
22,23.6,200,-0.054,,-0.054,
23,23.6,210,-0.059,,-0.059,
24,23.6,230,-0.067,,-0.067,
25,23.6,250,-0.077,,-0.077,
26,23.6,300,-0.100,,-0.100,
27,23.6,350,-0.122,,-0.122,
28,23.6,300,-0.099,,-0.099,
29,23.6,250,-0.077,,-0.077,
30,23.6,230,-0.068,,-0.068,
31,23.6,210,-0.059,,-0.059,
32,23.6,200,-0.054,,-0.054,
