N° misura,Temperatura,Peso [g],Deformazione [mV/V],Deformazione (a freddo),Deformazione (a caldo),Temperatura a freddo
1,22.1,0,0.000,0.000,,22.1
2,22.1,10,-0.005,-0.005,,Altezza lampada [cm]
3,22.1,30,-0.016,-0.016,,55
4,22.1,50,-0.027,-0.027,,Tempo di riscaldamento
5,22.1,100,-0.055,-0.055,,10 minuti
6,22.1,150,-0.082,-0.082,,
7,22.1,100,-0.055,-0.055,,
8,22.1,50,-0.028,-0.028,,
9,22.1,30,-0.017,-0.017,,
10,22.1,10,-0.006,-0.006,,
11,22.1,0,-0.001,-0.001,,
12,22.1,50,-0.028,-0.028,,
13,22.1,100,-0.056,-0.056,,
14,22.1,120,-0.066,-0.066,,
15,22.1,140,-0.077,-0.077,,
16,22.1,150,-0.083,-0.083,,
17,22.1,140,-0.077,-0.077,,
18,22.1,120,-0.067,-0.067,,
19,22.1,100,-0.056,-0.056,,
20,22.1,50,-0.029,-0.029,,
21,22.1,0,-0.001,-0.001,,
22,22.1,200,-0.110,-0.110,,
23,22.1,210,-0.116,-0.116,,
24,22.1,230,-0.126,-0.126,,
25,22.1,250,-0.137,-0.137,,
26,22.1,300,-0.165,-0.165,,
27,22.1,350,-0.193,-0.193,,
28,22.1,300,-0.165,-0.165,,
29,22.1,250,-0.137,-0.137,,
30,22.1,230,-0.126,-0.126,,
31,22.1,210,-0.116,-0.116,,
32,22.1,200,-0.110,-0.110,,
33,22.1,0,0.001,0.001,,
1,23.4,0,-0.025,,-0.025,"Attenzione, si è ristretto!"
2,23.4,10,-0.031,,-0.031,Probabilmente perché l'estensimetro si espande meno del carbonio
3,23.4,30,-0.041,,-0.041,In teoria il codice dell'estensimetro FLAB-3-11 significa che è calibrato per l'acciaio (11)
4,23.4,50,-0.051,,-0.051,
5,23.4,100,-0.078,,-0.078,
6,23.4,150,-0.105,,-0.105,
7,23.4,100,-0.077,,-0.077,
8,23.4,50,-0.049,,-0.049,
9,23.4,30,-0.039,,-0.039,
10,23.4,10,-0.027,,-0.027,
11,23.4,0,-0.021,,-0.021,
12,23.4,50,-0.048,,-0.048,
13,23.4,100,-0.075,,-0.075,
14,23.4,120,-0.087,,-0.087,
15,23.4,140,-0.097,,-0.097,
16,23.4,150,-0.102,,-0.102,
17,23.4,140,-0.096,,-0.096,
18,23.4,120,-0.084,,-0.084,
19,23.4,100,-0.074,,-0.074,
20,23.4,50,-0.047,,-0.047,
21,23.4,0,-0.019,,-0.019,
22,23,200,-0.128,,-0.128,"Attenzione, la temperatura scende con il tempo!"
23,23,210,-0.134,,-0.134,La temperatura nella prova a caldo non è costante.
24,23,230,-0.143,,-0.143,
25,23,250,-0.155,,-0.155,
26,23,300,-0.181,,-0.181,
27,23,350,-0.208,,-0.208,
28,23,300,-0.181,,-0.181,
29,23,250,-0.154,,-0.154,
30,23,230,-0.142,,-0.142,
31,23,210,-0.132,,-0.132,
32,22.9,200,-0.127,,-0.127,
33,22.9,0,-0.018,,-0.018,
