Channel              :,CH1,CH2
Frequency            :,30.03Hz,30.12Hz
Period               :,33.30ms,33.20ms
PK-PK                :,1.780V,392.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.250000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-440.000000,-96.000000
2,-440.000000,-96.000000
3,-420.000000,-100.000000
4,-440.000000,-100.000000
5,-460.000000,-100.000000
6,-440.000000,-104.000000
7,-460.000000,-104.000000
8,-460.000000,-104.000000
9,-460.000000,-104.000000
10,-480.000000,-104.000000
11,-460.000000,-104.000000
12,-460.000000,-104.000000
13,-480.000000,-112.000000
14,-500.000000,-108.000000
15,-480.000000,-108.000000
16,-500.000000,-108.000000
17,-500.000000,-112.000000
18,-480.000000,-112.000000
19,-480.000000,-112.000000
20,-500.000000,-112.000000
21,-520.000000,-116.000000
22,-520.000000,-116.000000
23,-500.000000,-112.000000
24,-500.000000,-116.000000
25,-520.000000,-120.000000
26,-520.000000,-120.000000
27,-520.000000,-120.000000
28,-520.000000,-124.000000
29,-540.000000,-120.000000
30,-540.000000,-124.000000
31,-560.000000,-124.000000
32,-560.000000,-124.000000
33,-540.000000,-128.000000
34,-560.000000,-128.000000
35,-540.000000,-128.000000
36,-560.000000,-128.000000
37,-580.000000,-128.000000
38,-560.000000,-132.000000
39,-580.000000,-128.000000
40,-560.000000,-132.000000
41,-600.000000,-132.000000
42,-600.000000,-132.000000
43,-600.000000,-132.000000
44,-600.000000,-136.000000
45,-600.000000,-136.000000
46,-620.000000,-140.000000
47,-620.000000,-108.000000
48,-620.000000,-140.000000
49,-620.000000,-140.000000
50,-620.000000,-140.000000
51,-640.000000,-140.000000
52,-620.000000,-140.000000
53,-620.000000,-144.000000
54,-640.000000,-144.000000
55,-640.000000,-144.000000
56,-640.000000,-144.000000
57,-640.000000,-148.000000
58,-640.000000,-148.000000
59,-620.000000,-148.000000
60,-660.000000,-148.000000
61,-640.000000,-148.000000
62,-660.000000,-152.000000
63,-640.000000,-152.000000
64,-680.000000,-152.000000
65,-640.000000,-152.000000
66,-680.000000,-152.000000
67,-700.000000,-160.000000
68,-660.000000,-156.000000
69,-720.000000,-156.000000
70,-700.000000,-156.000000
71,-660.000000,-156.000000
72,-680.000000,-156.000000
73,-680.000000,-156.000000
74,-680.000000,-176.000000
75,-680.000000,-160.000000
76,-700.000000,-160.000000
77,-700.000000,-160.000000
78,-720.000000,-160.000000
79,-700.000000,-164.000000
80,-720.000000,-164.000000
81,-700.000000,-164.000000
82,-700.000000,-164.000000
83,-700.000000,-164.000000
84,-720.000000,-168.000000
85,-720.000000,-168.000000
86,-720.000000,-164.000000
87,-720.000000,-164.000000
88,-760.000000,-168.000000
89,-740.000000,-168.000000
90,-720.000000,-168.000000
91,-760.000000,-168.000000
92,-740.000000,-168.000000
93,-740.000000,-168.000000
94,-760.000000,-172.000000
95,-800.000000,-172.000000
96,-780.000000,-172.000000
97,-760.000000,-168.000000
98,-780.000000,-172.000000
99,-780.000000,-172.000000
100,-760.000000,-176.000000
101,-800.000000,-172.000000
102,-780.000000,-172.000000
103,-800.000000,-172.000000
104,-800.000000,-172.000000
105,-820.000000,-176.000000
106,-840.000000,-172.000000
107,-820.000000,-172.000000
108,-840.000000,-176.000000
109,-820.000000,-176.000000
110,-840.000000,-176.000000
111,-840.000000,-180.000000
112,-820.000000,-176.000000
113,-840.000000,-180.000000
114,-860.000000,-180.000000
115,-860.000000,-176.000000
116,-860.000000,-180.000000
117,-860.000000,-180.000000
118,-860.000000,-180.000000
119,-860.000000,-180.000000
120,-860.000000,-176.000000
121,-840.000000,-176.000000
122,-840.000000,-180.000000
123,-860.000000,-176.000000
124,-840.000000,-176.000000
125,-860.000000,-180.000000
126,-880.000000,-180.000000
127,-860.000000,-180.000000
128,-880.000000,-176.000000
129,-860.000000,-180.000000
130,-880.000000,-176.000000
131,-880.000000,-176.000000
132,-900.000000,-180.000000
133,-900.000000,-176.000000
134,-860.000000,-180.000000
135,-880.000000,-180.000000
136,-880.000000,-176.000000
137,-900.000000,-176.000000
138,-880.000000,-168.000000
139,-900.000000,-180.000000
140,-880.000000,-180.000000
141,-900.000000,-176.000000
142,-920.000000,-176.000000
143,-880.000000,-176.000000
144,-900.000000,-180.000000
145,-920.000000,-144.000000
146,-900.000000,-176.000000
147,-920.000000,-176.000000
148,-900.000000,-176.000000
149,-920.000000,-176.000000
150,-900.000000,-176.000000
151,-940.000000,-176.000000
152,-920.000000,-176.000000
153,-900.000000,-176.000000
154,-940.000000,-172.000000
155,-920.000000,-176.000000
156,-920.000000,-172.000000
157,-920.000000,-176.000000
158,-920.000000,-176.000000
159,-900.000000,-172.000000
160,-920.000000,-172.000000
161,-940.000000,-172.000000
162,-960.000000,-172.000000
163,-940.000000,-168.000000
164,-920.000000,-168.000000
165,-900.000000,-168.000000
166,-900.000000,-168.000000
167,-900.000000,-168.000000
168,-920.000000,-168.000000
169,-920.000000,-168.000000
170,-920.000000,-168.000000
171,-940.000000,-168.000000
172,-920.000000,-184.000000
173,-900.000000,-164.000000
174,-920.000000,-164.000000
175,-920.000000,-172.000000
176,-900.000000,-164.000000
177,-920.000000,-164.000000
178,-920.000000,-160.000000
179,-900.000000,-160.000000
180,-940.000000,-160.000000
181,-920.000000,-160.000000
182,-920.000000,-156.000000
183,-920.000000,-160.000000
184,-940.000000,-156.000000
185,-920.000000,-156.000000
186,-920.000000,-156.000000
187,-920.000000,-156.000000
188,-900.000000,-152.000000
189,-900.000000,-152.000000
190,-940.000000,-152.000000
191,-940.000000,-152.000000
192,-920.000000,-152.000000
193,-900.000000,-148.000000
194,-880.000000,-148.000000
195,-900.000000,-148.000000
196,-920.000000,-144.000000
197,-900.000000,-148.000000
198,-920.000000,-144.000000
199,-880.000000,-140.000000
200,-900.000000,-144.000000
201,-880.000000,-140.000000
202,-900.000000,-144.000000
203,-900.000000,-140.000000
204,-900.000000,-140.000000
205,-900.000000,-136.000000
206,-900.000000,-136.000000
207,-900.000000,-136.000000
208,-880.000000,-136.000000
209,-900.000000,-136.000000
210,-900.000000,-136.000000
211,-880.000000,-132.000000
212,-900.000000,-132.000000
213,-900.000000,-132.000000
214,-900.000000,-128.000000
215,-900.000000,-124.000000
216,-900.000000,-128.000000
217,-900.000000,-124.000000
218,-880.000000,-124.000000
219,-900.000000,-120.000000
220,-900.000000,-124.000000
221,-880.000000,-124.000000
222,-900.000000,-120.000000
223,-900.000000,-120.000000
224,-860.000000,-116.000000
225,-880.000000,-112.000000
226,-860.000000,-112.000000
227,-840.000000,-112.000000
228,-840.000000,-112.000000
229,-840.000000,-112.000000
230,-820.000000,-108.000000
231,-820.000000,-108.000000
232,-840.000000,-104.000000
233,-840.000000,-108.000000
234,-820.000000,-104.000000
235,-820.000000,-100.000000
236,-800.000000,-108.000000
237,-800.000000,-100.000000
238,-800.000000,-96.000000
239,-820.000000,-96.000000
240,-780.000000,-96.000000
241,-800.000000,-96.000000
242,-800.000000,-96.000000
243,-760.000000,-108.000000
244,-780.000000,-92.000000
245,-780.000000,-92.000000
246,-760.000000,-92.000000
247,-780.000000,-84.000000
248,-740.000000,-84.000000
249,-740.000000,-84.000000
250,-740.000000,-80.000000
251,-720.000000,-80.000000
252,-760.000000,-76.000000
253,-720.000000,-80.000000
254,-740.000000,-76.000000
255,-720.000000,-72.000000
256,-720.000000,-76.000000
257,-740.000000,-76.000000
258,-700.000000,-72.000000
259,-700.000000,-72.000000
260,-700.000000,-68.000000
261,-680.000000,-64.000000
262,-700.000000,-64.000000
263,-680.000000,-72.000000
264,-680.000000,-64.000000
265,-660.000000,-60.000000
266,-660.000000,-60.000000
267,-680.000000,-60.000000
268,-660.000000,-56.000000
269,-680.000000,-56.000000
270,-640.000000,-80.000000
271,-640.000000,-52.000000
272,-640.000000,-52.000000
273,-620.000000,-56.000000
274,-620.000000,-48.000000
275,-600.000000,-48.000000
276,-580.000000,-44.000000
277,-600.000000,-44.000000
278,-600.000000,-40.000000
279,-560.000000,-40.000000
280,-580.000000,-36.000000
281,-580.000000,-36.000000
282,-560.000000,-36.000000
283,-580.000000,-32.000000
284,-580.000000,-32.000000
285,-560.000000,-32.000000
286,-540.000000,-28.000000
287,-540.000000,-28.000000
288,-520.000000,-24.000000
289,-500.000000,-24.000000
290,-500.000000,-24.000000
291,-500.000000,-24.000000
292,-500.000000,-20.000000
293,-500.000000,-20.000000
294,-460.000000,-16.000000
295,-460.000000,-16.000000
296,-500.000000,-16.000000
297,-460.000000,-4.000000
298,-460.000000,-12.000000
299,-480.000000,-8.000000
300,-460.000000,-4.000000
301,-440.000000,-4.000000
302,-400.000000,-4.000000
303,-420.000000,-4.000000
304,-420.000000,0.000000
305,-400.000000,0.000000
306,-400.000000,0.000000
307,-400.000000,4.000000
308,-360.000000,4.000000
309,-380.000000,4.000000
310,-380.000000,4.000000
311,-360.000000,8.000000
312,-340.000000,8.000000
313,-340.000000,8.000000
314,-380.000000,12.000000
315,-320.000000,12.000000
316,-320.000000,12.000000
317,-320.000000,16.000000
318,-300.000000,20.000000
319,-300.000000,20.000000
320,-300.000000,24.000000
321,-280.000000,20.000000
322,-300.000000,24.000000
323,-280.000000,24.000000
324,-280.000000,28.000000
325,-260.000000,28.000000
326,-260.000000,28.000000
327,-240.000000,32.000000
328,-260.000000,32.000000
329,-260.000000,36.000000
330,-240.000000,36.000000
331,-200.000000,36.000000
332,-200.000000,40.000000
333,-200.000000,40.000000
334,-200.000000,36.000000
335,-200.000000,40.000000
336,-200.000000,44.000000
337,-180.000000,44.000000
338,-140.000000,44.000000
339,-140.000000,48.000000
340,-140.000000,52.000000
341,-120.000000,48.000000
342,-140.000000,52.000000
343,-100.000000,56.000000
344,-120.000000,52.000000
345,-100.000000,56.000000
346,-100.000000,60.000000
347,-80.000000,60.000000
348,-80.000000,64.000000
349,-80.000000,64.000000
350,-60.000000,64.000000
351,-40.000000,60.000000
352,-20.000000,68.000000
353,0.000000,68.000000
354,-20.000000,72.000000
355,0.000000,72.000000
356,0.000000,72.000000
357,0.000000,76.000000
358,0.000000,76.000000
359,20.000000,80.000000
360,20.000000,80.000000
361,0.000000,88.000000
362,20.000000,80.000000
363,40.000000,84.000000
364,40.000000,84.000000
365,60.000000,84.000000
366,60.000000,84.000000
367,100.000000,84.000000
368,100.000000,96.000000
369,100.000000,88.000000
370,120.000000,88.000000
371,80.000000,96.000000
372,160.000000,96.000000
373,140.000000,96.000000
374,120.000000,96.000000
375,140.000000,100.000000
376,140.000000,96.000000
377,140.000000,100.000000
378,160.000000,104.000000
379,180.000000,100.000000
380,180.000000,100.000000
381,180.000000,108.000000
382,180.000000,104.000000
383,200.000000,104.000000
384,200.000000,104.000000
385,220.000000,108.000000
386,220.000000,108.000000
387,240.000000,108.000000
388,240.000000,112.000000
389,240.000000,112.000000
390,280.000000,112.000000
391,260.000000,116.000000
392,280.000000,112.000000
393,260.000000,112.000000
394,260.000000,116.000000
395,280.000000,132.000000
396,280.000000,120.000000
397,300.000000,120.000000
398,320.000000,128.000000
399,320.000000,120.000000
400,280.000000,120.000000
401,300.000000,124.000000
402,300.000000,124.000000
403,320.000000,124.000000
404,360.000000,128.000000
405,320.000000,128.000000
406,360.000000,128.000000
407,360.000000,128.000000
408,340.000000,128.000000
409,380.000000,128.000000
410,360.000000,132.000000
411,400.000000,128.000000
412,380.000000,136.000000
413,380.000000,136.000000
414,380.000000,136.000000
415,420.000000,132.000000
416,400.000000,136.000000
417,400.000000,136.000000
418,420.000000,136.000000
419,420.000000,140.000000
420,420.000000,140.000000
421,440.000000,140.000000
422,460.000000,136.000000
423,440.000000,144.000000
424,460.000000,144.000000
425,460.000000,140.000000
426,460.000000,144.000000
427,460.000000,144.000000
428,480.000000,144.000000
429,460.000000,148.000000
430,480.000000,148.000000
431,480.000000,148.000000
432,500.000000,144.000000
433,480.000000,148.000000
434,500.000000,152.000000
435,500.000000,152.000000
436,500.000000,152.000000
437,520.000000,152.000000
438,520.000000,148.000000
439,520.000000,156.000000
440,520.000000,152.000000
441,500.000000,152.000000
442,540.000000,156.000000
443,520.000000,156.000000
444,520.000000,152.000000
445,540.000000,156.000000
446,540.000000,156.000000
447,540.000000,156.000000
448,560.000000,156.000000
449,540.000000,156.000000
450,540.000000,156.000000
451,580.000000,156.000000
452,560.000000,156.000000
453,560.000000,160.000000
454,580.000000,156.000000
455,580.000000,160.000000
456,580.000000,156.000000
457,580.000000,160.000000
458,560.000000,160.000000
459,580.000000,176.000000
460,600.000000,160.000000
461,560.000000,160.000000
462,600.000000,160.000000
463,580.000000,164.000000
464,580.000000,164.000000
465,600.000000,160.000000
466,580.000000,176.000000
467,620.000000,160.000000
468,620.000000,160.000000
469,600.000000,164.000000
470,600.000000,160.000000
471,620.000000,164.000000
472,640.000000,164.000000
473,620.000000,164.000000
474,600.000000,160.000000
475,620.000000,160.000000
476,620.000000,168.000000
477,620.000000,160.000000
478,620.000000,164.000000
479,640.000000,164.000000
480,640.000000,164.000000
481,600.000000,164.000000
482,620.000000,160.000000
483,620.000000,164.000000
484,640.000000,164.000000
485,640.000000,160.000000
486,640.000000,156.000000
487,640.000000,164.000000
488,640.000000,160.000000
489,660.000000,164.000000
490,640.000000,160.000000
491,660.000000,160.000000
492,680.000000,160.000000
493,660.000000,148.000000
494,660.000000,160.000000
495,660.000000,160.000000
496,660.000000,160.000000
497,660.000000,160.000000
498,660.000000,160.000000
499,660.000000,164.000000
500,660.000000,160.000000
501,660.000000,160.000000
502,660.000000,156.000000
503,660.000000,156.000000
504,660.000000,160.000000
505,660.000000,156.000000
506,660.000000,156.000000
507,700.000000,156.000000
508,680.000000,156.000000
509,680.000000,156.000000
510,680.000000,156.000000
511,680.000000,160.000000
512,700.000000,160.000000
513,680.000000,156.000000
514,680.000000,156.000000
515,700.000000,156.000000
516,720.000000,156.000000
517,720.000000,160.000000
518,700.000000,156.000000
519,720.000000,156.000000
520,720.000000,148.000000
521,720.000000,152.000000
522,740.000000,152.000000
523,740.000000,152.000000
524,720.000000,156.000000
525,740.000000,152.000000
526,720.000000,152.000000
527,740.000000,156.000000
528,740.000000,152.000000
529,740.000000,152.000000
530,740.000000,148.000000
531,720.000000,152.000000
532,740.000000,148.000000
533,720.000000,148.000000
534,740.000000,148.000000
535,760.000000,148.000000
536,760.000000,148.000000
537,760.000000,148.000000
538,760.000000,148.000000
539,720.000000,148.000000
540,760.000000,148.000000
541,760.000000,144.000000
542,740.000000,144.000000
543,760.000000,144.000000
544,760.000000,144.000000
545,740.000000,144.000000
546,760.000000,140.000000
547,740.000000,144.000000
548,780.000000,140.000000
549,740.000000,140.000000
550,760.000000,140.000000
551,760.000000,140.000000
552,760.000000,136.000000
553,740.000000,136.000000
554,740.000000,136.000000
555,740.000000,136.000000
556,760.000000,140.000000
557,760.000000,136.000000
558,740.000000,136.000000
559,760.000000,136.000000
560,740.000000,136.000000
561,760.000000,136.000000
562,760.000000,132.000000
563,760.000000,132.000000
564,740.000000,140.000000
565,760.000000,132.000000
566,760.000000,132.000000
567,740.000000,128.000000
568,740.000000,128.000000
569,740.000000,128.000000
570,720.000000,128.000000
571,760.000000,124.000000
572,740.000000,128.000000
573,740.000000,124.000000
574,740.000000,124.000000
575,720.000000,124.000000
576,740.000000,124.000000
