Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,334.0mV,66.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.125000mV,0.025000mV
Time interval        :,4000.00000uS,4000.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-56.000000,19.200001
2,-56.000000,19.200001
3,-52.000000,-2.000000
4,-48.000000,-2.400000
5,-46.000000,-0.400000
6,-52.000000,-1.600000
7,-44.000000,-1.200000
8,-44.000000,-1.600000
9,-58.000000,-24.000000
10,-52.000000,-1.200000
11,-72.000000,-1.200000
12,-52.000000,-0.400000
13,-52.000000,-2.000000
14,-60.000000,-1.200000
15,-54.000000,-2.000000
16,-72.000000,-8.400000
17,-38.000000,-1.600000
18,-56.000000,-1.600000
19,-46.000000,-1.600000
20,-52.000000,-2.000000
21,-74.000000,-2.000000
22,-64.000000,-0.800000
23,-98.000000,-4.400000
24,-70.000000,-2.000000
25,-44.000000,-0.400000
26,-152.000000,-1.200000
27,-88.000000,-2.400000
28,-120.000000,-2.000000
29,-62.000000,-1.200000
30,-86.000000,-2.400000
31,-180.000000,-0.800000
32,-222.000000,-0.800000
33,-170.000000,-2.000000
34,-98.000000,-1.600000
35,-60.000000,-1.200000
36,-68.000000,-1.600000
37,-62.000000,0.000000
38,-62.000000,-2.000000
39,-64.000000,0.400000
40,-66.000000,-0.800000
41,-66.000000,-0.800000
42,-66.000000,-0.800000
43,-74.000000,0.000000
44,-62.000000,-2.800000
45,-70.000000,-0.400000
46,-76.000000,-0.400000
47,-66.000000,-1.600000
48,-68.000000,-0.400000
49,-66.000000,-1.600000
50,-62.000000,-1.200000
51,-72.000000,-1.600000
52,-60.000000,-0.400000
53,-76.000000,-2.000000
54,-64.000000,0.000000
55,-62.000000,-0.400000
56,-72.000000,-1.600000
57,-72.000000,-0.400000
58,-72.000000,-0.400000
59,-62.000000,-1.200000
60,-66.000000,0.400000
61,-80.000000,-1.600000
62,-68.000000,0.000000
63,-74.000000,-0.800000
64,-84.000000,-0.800000
65,-70.000000,-4.000000
66,-86.000000,-0.400000
67,-66.000000,-1.200000
68,-84.000000,-0.400000
69,-60.000000,-0.400000
70,-78.000000,-2.400000
71,-78.000000,-0.400000
72,-62.000000,-6.400000
73,-78.000000,-0.400000
74,-80.000000,-0.800000
75,-66.000000,-0.400000
76,-86.000000,0.400000
77,-78.000000,0.000000
78,-78.000000,0.000000
79,-62.000000,3.600000
80,-74.000000,0.000000
81,-82.000000,-0.400000
82,-74.000000,-0.800000
83,-72.000000,-1.200000
84,-80.000000,-1.200000
85,-80.000000,-0.400000
86,-84.000000,-1.200000
87,-70.000000,-0.400000
88,-88.000000,-1.200000
89,-70.000000,-0.400000
90,-74.000000,0.400000
91,-76.000000,0.400000
92,-78.000000,-0.400000
93,-74.000000,-0.400000
94,-86.000000,-0.400000
95,-68.000000,0.000000
96,-90.000000,-1.200000
97,-90.000000,1.200000
98,-84.000000,-1.200000
99,-68.000000,-1.200000
100,-80.000000,-6.000000
101,-84.000000,0.000000
102,-80.000000,0.800000
103,-76.000000,-0.800000
104,-64.000000,-0.400000
105,-80.000000,-0.400000
106,-78.000000,-0.400000
107,-72.000000,0.800000
108,-78.000000,-2.000000
109,-70.000000,1.200000
110,-72.000000,0.000000
111,-94.000000,-1.200000
112,-74.000000,0.400000
113,-72.000000,-0.800000
114,-80.000000,-7.200000
115,-80.000000,0.000000
116,-78.000000,0.800000
117,-70.000000,0.800000
118,-80.000000,-0.400000
119,-76.000000,0.400000
120,-82.000000,0.400000
121,-86.000000,25.200001
122,-68.000000,1.600000
123,-80.000000,-3.200000
124,-64.000000,0.000000
125,-74.000000,-0.400000
126,-80.000000,-0.400000
127,-80.000000,-0.400000
128,-82.000000,-0.400000
129,-76.000000,0.800000
130,-76.000000,-2.800000
131,-86.000000,0.400000
132,-68.000000,-0.400000
133,-72.000000,-0.800000
134,-72.000000,0.800000
135,-70.000000,0.400000
136,-98.000000,-0.400000
137,-68.000000,-5.600000
138,-72.000000,0.000000
139,-80.000000,1.200000
140,-72.000000,0.400000
141,-92.000000,0.800000
142,-80.000000,0.000000
143,-72.000000,-0.400000
144,-78.000000,0.800000
145,-66.000000,0.400000
146,-92.000000,0.800000
147,-64.000000,0.800000
148,-74.000000,-0.400000
149,-78.000000,0.400000
150,-80.000000,0.000000
151,-74.000000,10.000000
152,-74.000000,-0.800000
153,-70.000000,1.200000
154,-62.000000,0.800000
155,-74.000000,0.000000
156,-78.000000,0.800000
157,-82.000000,0.800000
158,-82.000000,0.000000
159,-72.000000,0.400000
160,-74.000000,-6.400000
161,-76.000000,0.800000
162,-72.000000,0.000000
163,-72.000000,1.200000
164,-74.000000,1.200000
165,-62.000000,1.200000
166,-86.000000,1.200000
167,-56.000000,1.200000
168,-72.000000,0.800000
169,-78.000000,1.600000
170,-70.000000,0.000000
171,-90.000000,0.800000
172,-74.000000,1.600000
173,-80.000000,1.200000
174,-62.000000,4.000000
175,-68.000000,0.400000
176,-76.000000,1.200000
177,-66.000000,0.400000
178,-78.000000,1.600000
179,-58.000000,0.400000
180,-56.000000,0.400000
181,-72.000000,6.000000
182,-56.000000,0.800000
183,-56.000000,-1.200000
184,-62.000000,1.600000
185,-56.000000,0.000000
186,-66.000000,2.400000
187,-60.000000,0.400000
188,-60.000000,2.000000
189,-48.000000,1.600000
190,-66.000000,0.400000
191,-68.000000,2.000000
192,-62.000000,1.600000
193,-66.000000,1.600000
194,-64.000000,2.000000
195,-62.000000,1.200000
196,-66.000000,1.600000
197,-54.000000,-5.200000
198,-64.000000,1.200000
199,-56.000000,1.600000
200,-56.000000,1.200000
201,-62.000000,2.800000
202,-46.000000,0.800000
203,-70.000000,0.800000
204,-52.000000,2.800000
205,-52.000000,1.200000
206,-66.000000,0.400000
207,-60.000000,2.000000
208,-52.000000,0.400000
209,-56.000000,0.800000
210,-46.000000,1.200000
211,-66.000000,-1.200000
212,-50.000000,1.600000
213,-60.000000,1.200000
214,-62.000000,2.800000
215,-52.000000,1.200000
216,-60.000000,1.200000
217,-54.000000,2.400000
218,-52.000000,1.600000
219,-46.000000,2.400000
220,-44.000000,2.400000
221,-56.000000,2.000000
222,-34.000000,1.600000
223,-58.000000,1.600000
224,-46.000000,2.000000
225,-54.000000,2.400000
226,-50.000000,2.000000
227,-44.000000,-3.200000
228,-50.000000,2.400000
229,-46.000000,2.400000
230,-48.000000,1.200000
231,-54.000000,0.400000
232,-48.000000,1.600000
233,-40.000000,1.600000
234,-42.000000,-2.400000
235,-46.000000,2.400000
236,-52.000000,1.200000
237,-42.000000,1.600000
238,-42.000000,1.600000
239,-40.000000,1.600000
240,-36.000000,1.200000
241,-58.000000,-15.600000
242,-40.000000,1.600000
243,-46.000000,1.600000
244,-44.000000,2.000000
245,-40.000000,1.200000
246,-44.000000,2.000000
247,-38.000000,1.600000
248,-38.000000,1.600000
249,-38.000000,1.600000
250,-40.000000,4.800000
251,-34.000000,1.600000
252,-32.000000,1.200000
253,-34.000000,2.400000
254,-24.000000,2.400000
255,-36.000000,2.400000
256,-32.000000,2.000000
257,-26.000000,-1.600000
258,-34.000000,2.800000
259,-34.000000,1.600000
260,-38.000000,1.600000
261,-40.000000,2.000000
262,-30.000000,1.600000
263,-26.000000,2.400000
264,-34.000000,0.400000
265,-32.000000,0.800000
266,-36.000000,3.200000
267,-32.000000,2.000000
268,-28.000000,2.400000
269,-16.000000,1.200000
270,-20.000000,2.400000
271,-32.000000,0.000000
272,-18.000000,2.000000
273,-26.000000,2.000000
274,-16.000000,2.000000
275,-26.000000,1.600000
276,-22.000000,1.600000
277,-8.000000,1.200000
278,-18.000000,12.000000
279,-20.000000,2.000000
280,-22.000000,2.400000
281,-32.000000,1.200000
282,-22.000000,2.800000
283,-18.000000,0.800000
284,-16.000000,1.600000
285,-12.000000,-2.400000
286,-30.000000,2.400000
287,10.000000,3.200000
288,-18.000000,2.400000
289,-12.000000,2.000000
290,-12.000000,1.600000
291,-22.000000,0.800000
292,-14.000000,-2.000000
293,-12.000000,0.400000
294,-16.000000,2.000000
295,-14.000000,2.000000
296,-10.000000,2.800000
297,-14.000000,1.600000
298,-18.000000,1.600000
299,4.000000,4.800000
300,-8.000000,1.600000
301,-16.000000,2.400000
302,-4.000000,1.600000
303,-6.000000,2.400000
304,-2.000000,1.200000
305,-6.000000,1.600000
306,-14.000000,2.800000
307,4.000000,2.000000
308,4.000000,2.400000
309,8.000000,2.400000
310,-4.000000,2.400000
311,-8.000000,1.600000
312,10.000000,2.000000
313,-4.000000,6.400000
314,2.000000,1.200000
315,8.000000,2.800000
316,-8.000000,1.200000
317,14.000000,1.200000
318,-6.000000,0.800000
319,2.000000,0.000000
320,10.000000,-3.200000
321,-4.000000,1.600000
322,16.000000,2.400000
323,12.000000,1.600000
324,10.000000,1.600000
325,2.000000,1.600000
326,4.000000,1.200000
327,8.000000,-10.400000
328,4.000000,0.800000
329,12.000000,-0.800000
330,22.000000,1.600000
331,6.000000,2.000000
332,30.000000,2.000000
333,2.000000,2.000000
334,24.000000,6.800000
335,16.000000,2.800000
336,20.000000,-1.600000
337,18.000000,1.200000
338,8.000000,2.000000
339,30.000000,2.000000
340,20.000000,2.000000
341,8.000000,2.000000
