Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,936.0mV,117.6mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,0.050000mV
Time interval        :,1000.00000uS,1000.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,312.000000,26.400000
2,312.000000,26.400000
3,304.000000,25.600000
4,280.000000,23.200001
5,272.000000,23.200001
6,264.000000,24.799999
7,320.000000,24.799999
8,328.000000,24.000000
9,336.000000,21.600000
10,328.000000,24.799999
11,320.000000,25.600000
12,304.000000,24.000000
13,312.000000,26.400000
14,304.000000,24.000000
15,288.000000,23.200001
16,264.000000,25.600000
17,320.000000,25.600000
18,344.000000,25.600000
19,344.000000,24.000000
20,344.000000,24.799999
21,344.000000,23.200001
22,344.000000,17.600000
23,344.000000,23.200001
24,304.000000,22.400000
25,288.000000,22.400000
26,288.000000,24.000000
27,336.000000,22.400000
28,360.000000,21.600000
29,392.000000,23.200001
30,384.000000,22.400000
31,360.000000,22.400000
32,336.000000,22.400000
33,344.000000,22.400000
34,312.000000,21.600000
35,312.000000,18.400000
36,312.000000,22.400000
37,320.000000,20.799999
38,360.000000,21.600000
39,352.000000,21.600000
40,368.000000,20.799999
41,376.000000,20.799999
42,360.000000,22.400000
43,344.000000,20.000000
44,320.000000,19.200001
45,320.000000,21.600000
46,336.000000,20.000000
47,360.000000,20.799999
48,408.000000,20.799999
49,384.000000,20.799999
50,384.000000,20.799999
51,368.000000,20.000000
52,360.000000,20.000000
53,328.000000,18.400000
54,328.000000,19.200001
55,328.000000,17.600000
56,312.000000,19.200001
57,344.000000,19.200001
58,384.000000,20.000000
59,376.000000,18.400000
60,384.000000,16.799999
61,352.000000,19.200001
62,360.000000,19.200001
63,352.000000,18.400000
64,336.000000,17.600000
65,320.000000,18.400000
66,320.000000,19.200001
67,360.000000,17.600000
68,368.000000,17.600000
69,392.000000,17.600000
70,400.000000,16.799999
71,384.000000,19.200001
72,360.000000,17.600000
73,344.000000,16.000000
74,336.000000,20.000000
75,336.000000,18.400000
76,352.000000,15.200000
77,344.000000,15.200000
78,368.000000,17.600000
79,392.000000,12.800000
80,368.000000,15.200000
81,376.000000,16.000000
82,368.000000,16.000000
83,376.000000,14.400000
84,344.000000,16.799999
85,336.000000,15.200000
86,344.000000,14.400000
87,384.000000,12.000000
88,400.000000,15.200000
89,408.000000,14.400000
90,400.000000,14.400000
91,384.000000,14.400000
92,360.000000,12.000000
93,344.000000,13.600000
94,344.000000,15.200000
95,344.000000,12.800000
96,336.000000,13.600000
97,344.000000,12.800000
98,376.000000,12.800000
99,376.000000,12.000000
100,360.000000,15.200000
101,376.000000,12.000000
102,392.000000,12.000000
103,352.000000,12.000000
104,336.000000,12.000000
105,352.000000,7.200000
106,344.000000,12.000000
107,384.000000,12.800000
108,392.000000,12.000000
109,408.000000,10.400000
110,400.000000,11.200000
111,376.000000,12.000000
112,360.000000,9.600000
113,352.000000,7.200000
114,328.000000,11.200000
115,344.000000,9.600000
116,344.000000,10.400000
117,360.000000,10.400000
118,376.000000,10.400000
119,392.000000,9.600000
120,408.000000,11.200000
121,392.000000,9.600000
122,376.000000,9.600000
123,384.000000,8.800000
124,360.000000,8.800000
125,336.000000,8.800000
126,328.000000,3.200000
127,352.000000,8.800000
128,408.000000,7.200000
129,424.000000,7.200000
130,400.000000,9.600000
131,376.000000,5.600000
132,368.000000,8.800000
133,352.000000,9.600000
134,336.000000,8.000000
135,320.000000,5.600000
136,320.000000,8.800000
137,352.000000,7.200000
138,368.000000,5.600000
139,400.000000,1.600000
140,392.000000,7.200000
141,376.000000,4.000000
142,360.000000,6.400000
143,352.000000,6.400000
144,328.000000,4.800000
145,320.000000,5.600000
146,320.000000,5.600000
147,352.000000,4.800000
148,376.000000,4.800000
149,408.000000,4.800000
150,368.000000,4.000000
151,360.000000,4.000000
152,360.000000,-1.600000
153,336.000000,5.600000
154,336.000000,4.000000
155,328.000000,3.200000
156,312.000000,3.200000
157,328.000000,0.800000
158,336.000000,2.400000
159,344.000000,3.200000
160,360.000000,3.200000
161,336.000000,1.600000
162,352.000000,3.200000
163,344.000000,2.400000
164,336.000000,2.400000
165,320.000000,3.200000
166,344.000000,2.400000
167,336.000000,0.000000
168,360.000000,1.600000
169,368.000000,2.400000
170,352.000000,-1.600000
171,336.000000,0.000000
172,320.000000,2.400000
173,304.000000,1.600000
174,312.000000,1.600000
175,336.000000,0.800000
176,328.000000,0.000000
177,312.000000,-0.800000
178,336.000000,-0.800000
179,360.000000,-0.800000
180,336.000000,-1.600000
181,368.000000,-1.600000
182,352.000000,-0.800000
183,336.000000,-4.800000
184,304.000000,-0.800000
185,280.000000,-2.400000
186,296.000000,-2.400000
187,328.000000,-1.600000
188,376.000000,-2.400000
189,360.000000,-1.600000
190,360.000000,-1.600000
191,320.000000,-5.600000
192,320.000000,-0.800000
193,304.000000,-1.600000
194,272.000000,-2.400000
195,272.000000,-3.200000
196,256.000000,-4.000000
197,296.000000,-2.400000
198,320.000000,-2.400000
199,296.000000,-4.800000
200,304.000000,-4.800000
201,320.000000,-2.400000
202,320.000000,-4.800000
203,304.000000,-4.000000
204,280.000000,-5.600000
205,280.000000,-3.200000
206,272.000000,-4.800000
207,304.000000,-4.800000
208,336.000000,-5.600000
209,344.000000,-7.200000
210,328.000000,-6.400000
211,312.000000,-5.600000
212,272.000000,-5.600000
213,264.000000,-8.000000
214,256.000000,-6.400000
215,248.000000,-5.600000
216,272.000000,-6.400000
217,256.000000,-11.200000
218,304.000000,-7.200000
219,312.000000,-8.000000
220,296.000000,-8.000000
221,304.000000,-7.200000
222,280.000000,-10.400000
223,264.000000,-8.800000
224,248.000000,-7.200000
225,224.000000,-9.600000
226,256.000000,-8.000000
227,272.000000,-8.000000
228,296.000000,-8.800000
229,304.000000,-8.800000
230,296.000000,-16.000000
231,272.000000,-8.800000
232,248.000000,-12.000000
233,240.000000,-10.400000
234,224.000000,-9.600000
235,232.000000,-10.400000
236,216.000000,-9.600000
237,224.000000,-9.600000
238,240.000000,-10.400000
239,256.000000,-12.000000
240,272.000000,-8.000000
241,264.000000,-12.000000
242,256.000000,-12.000000
243,232.000000,-12.000000
244,192.000000,-12.800000
245,216.000000,-12.800000
246,224.000000,-12.800000
247,272.000000,-9.600000
248,264.000000,-12.000000
249,280.000000,-12.000000
250,256.000000,-12.800000
251,240.000000,-13.600000
252,224.000000,-13.600000
253,216.000000,-12.000000
254,200.000000,-12.800000
255,184.000000,-13.600000
256,192.000000,-16.799999
257,200.000000,-12.800000
258,208.000000,-14.400000
259,232.000000,-14.400000
260,216.000000,-14.400000
261,216.000000,-16.799999
262,200.000000,-14.400000
263,192.000000,-13.600000
264,184.000000,-15.200000
265,184.000000,-16.000000
266,152.000000,-12.800000
267,192.000000,-14.400000
268,232.000000,-16.000000
269,232.000000,-14.400000
270,208.000000,-16.000000
271,184.000000,-15.200000
272,176.000000,-16.799999
273,160.000000,-16.799999
274,160.000000,-17.600000
275,144.000000,-16.799999
276,144.000000,-16.799999
277,144.000000,-16.799999
278,168.000000,-16.799999
279,168.000000,-18.400000
280,200.000000,-16.799999
281,192.000000,-16.799999
282,168.000000,-20.799999
283,160.000000,-18.400000
284,128.000000,-18.400000
285,128.000000,-18.400000
286,136.000000,-17.600000
287,160.000000,-20.000000
288,168.000000,-18.400000
289,192.000000,-20.000000
290,184.000000,-17.600000
291,160.000000,-17.600000
292,136.000000,-18.400000
293,120.000000,-18.400000
294,104.000000,-21.600000
295,88.000000,-21.600000
296,88.000000,-20.000000
297,96.000000,-20.799999
298,128.000000,-20.799999
299,112.000000,-18.400000
300,120.000000,-20.799999
301,128.000000,-20.000000
302,136.000000,-19.200001
303,112.000000,-20.799999
304,80.000000,-20.799999
305,72.000000,-21.600000
306,96.000000,-20.799999
307,112.000000,-20.799999
308,144.000000,-24.799999
309,160.000000,-21.600000
310,128.000000,-22.400000
311,136.000000,-20.799999
312,112.000000,-20.799999
313,80.000000,-24.799999
314,56.000000,-21.600000
315,48.000000,-22.400000
316,56.000000,-27.200001
317,56.000000,-24.000000
318,80.000000,-21.600000
319,64.000000,-22.400000
320,88.000000,-22.400000
321,80.000000,-28.799999
322,96.000000,-22.400000
323,72.000000,-24.000000
324,40.000000,-24.000000
325,16.000000,-22.400000
326,40.000000,-26.400000
327,64.000000,-24.000000
328,88.000000,-23.200001
329,104.000000,3.200000
330,88.000000,-24.799999
331,72.000000,-22.400000
332,40.000000,-24.799999
333,32.000000,-24.799999
334,16.000000,-19.200001
335,0.000000,-24.000000
336,0.000000,-26.400000
337,16.000000,-24.000000
338,16.000000,-25.600000
339,32.000000,-23.200001
340,40.000000,-24.799999
341,32.000000,-26.400000
342,8.000000,-4.800000
343,8.000000,-26.400000
344,-16.000000,-25.600000
345,-40.000000,-25.600000
346,-40.000000,-27.200001
347,0.000000,-20.000000
348,48.000000,-26.400000
349,24.000000,-27.200001
350,16.000000,-27.200001
351,0.000000,-26.400000
352,-8.000000,-24.799999
353,-40.000000,-26.400000
354,-48.000000,-27.200001
355,-64.000000,-5.600000
356,-64.000000,-28.799999
357,-48.000000,-26.400000
358,-40.000000,-25.600000
359,0.000000,-26.400000
360,0.000000,-30.400000
361,-24.000000,-25.600000
